alpha,Lambda,sigma,Kappa,Kappa_,A,B,m1,m2,E0,E1,E2,E3
0.6,0.1,-3.0,0.4,1.85,1.7,0.2,1.0,1.0,1.6349835474776901,2.1278065469913905,2.471736237674504,2.783116637412858
0.6,0.1,-3.0,0.4,1.85,1.7,0.22,1.0,1.0,1.6349835474776901,2.1278065469913905,2.471736237674504,2.783116637412858
0.6,0.1,-3.0,0.4,1.85,1.7,0.24,1.0,1.0,1.6349835474776901,2.1278065469913905,2.471736237674504,2.783116637412858
0.6,0.1,-3.0,0.4,1.9,1.6,0.2,1.0,1.0,1.6217548559547537,2.1219744451936924,2.467618419377342,2.7797406608181823
0.6,0.1,-3.0,0.4,1.9,1.6,0.22,1.0,1.0,1.6217548559547537,2.1219744451936924,2.467618419377342,2.7797406608181823
0.6,0.1,-3.0,0.4,1.9,1.6,0.24,1.0,1.0,1.6217548559547537,2.1219744451936924,2.467618419377342,2.7797406608181823
0.6,0.1,-3.0,0.4,1.9,1.65,0.2,1.0,1.0,1.6270553028000816,2.124458592835177,2.469392097432892,2.7812029034951355
0.6,0.1,-3.0,0.4,1.9,1.65,0.22,1.0,1.0,1.6270553028000816,2.124458592835177,2.469392097432892,2.7812029034951355
0.6,0.1,-3.0,0.4,1.9,1.65,0.24,1.0,1.0,1.6270553028000816,2.124458592835177,2.469392097432892,2.7812029034951355
0.6,0.1,-3.0,0.4,1.9,1.7,0.2,1.0,1.0,1.6319600386635083,2.126763592524518,2.471027895441939,2.7825412374503955
0.6,0.1,-3.0,0.4,1.9,1.7,0.22,1.0,1.0,1.6319600386635083,2.126763592524518,2.471027895441939,2.7825412374503955
0.6,0.1,-3.0,0.4,1.9,1.7,0.24,1.0,1.0,1.6319600386635083,2.126763592524518,2.471027895441939,2.7825412374503955
0.6,0.1,-3.0,0.5,1.8,1.6,0.2,1.0,1.0,1.5699760749684604,2.0942083975951453,2.446171863414656,2.76145321924434
0.6,0.1,-3.0,0.5,1.8,1.6,0.22,1.0,1.0,1.5699760749684604,2.0942083975951453,2.446171863414656,2.76145321924434
0.6,0.1,-3.0,0.5,1.8,1.6,0.24,1.0,1.0,1.5699760749684604,2.0942083975951453,2.446171863414656,2.76145321924434
0.6,0.1,-3.0,0.5,1.8,1.65,0.2,1.0,1.0,1.5755480559821644,2.096619593984833,2.447858903307298,2.7628675230497293
0.6,0.1,-3.0,0.5,1.8,1.65,0.22,1.0,1.0,1.5755480559821644,2.096619593984833,2.447858903307298,2.7628675230497293
0.6,0.1,-3.0,0.5,1.8,1.65,0.24,1.0,1.0,1.5755480559821644,2.096619593984833,2.447858903307298,2.7628675230497293
0.6,0.1,-3.0,0.5,1.8,1.7,0.2,1.0,1.0,1.5807044927178744,2.098853926300931,2.4494122729969923,2.764160882950554
0.6,0.1,-3.0,0.5,1.8,1.7,0.22,1.0,1.0,1.5807044927178744,2.098853926300931,2.4494122729969923,2.764160882950554
0.6,0.1,-3.0,0.5,1.8,1.7,0.24,1.0,1.0,1.5807044927178744,2.098853926300931,2.4494122729969923,2.764160882950554
0.6,0.1,-3.0,0.5,1.85,1.6,0.2,1.0,1.0,1.566307515599178,2.093043981706291,2.4453886743164452,2.76079757692894
0.6,0.1,-3.0,0.5,1.85,1.6,0.22,1.0,1.0,1.566307515599178,2.093043981706291,2.4453886743164452,2.76079757692894
0.6,0.1,-3.0,0.5,1.85,1.6,0.24,1.0,1.0,1.566307515599178,2.093043981706291,2.4453886743164452,2.76079757692894
0.6,0.1,-3.0,0.5,1.85,1.65,0.2,1.0,1.0,1.5721008287773217,2.0955189794119766,2.447118047129685,2.7622489051514405
0.6,0.1,-3.0,0.5,1.85,1.65,0.22,1.0,1.0,1.5721008287773217,2.0955189794119766,2.447118047129685,2.7622489051514405
0.6,0.1,-3.0,0.5,1.85,1.65,0.24,1.0,1.0,1.5721008287773217,2.0955189794119766,2.447118047129685,2.7622489051514405
0.6,0.1,-3.0,0.5,1.85,1.7,0.2,1.0,1.0,1.5774574624270838,2.0978121328473973,2.4487104079629,2.7635761811652797
0.6,0.1,-3.0,0.5,1.85,1.7,0.22,1.0,1.0,1.5774574624270838,2.0978121328473973,2.4487104079629,2.7635761811652797
0.6,0.1,-3.0,0.5,1.85,1.7,0.24,1.0,1.0,1.5774574624270838,2.0978121328473973,2.4487104079629,2.7635761811652797
0.6,0.1,-3.0,0.5,1.9,1.6,0.2,1.0,1.0,1.5626105337034673,2.091883359542741,2.444607998027519,2.7601429126821992
0.6,0.1,-3.0,0.5,1.9,1.6,0.22,1.0,1.0,1.5626105337034673,2.091883359542741,2.444607998027519,2.7601429126821992
0.6,0.1,-3.0,0.5,1.9,1.6,0.24,1.0,1.0,1.5626105337034673,2.091883359542741,2.444607998027519,2.7601429126821992
0.6,0.1,-3.0,0.5,1.9,1.65,0.2,1.0,1.0,1.5686289647968705,2.094421771899515,2.446379404650985,2.7616311022491673
0.6,0.1,-3.0,0.5,1.9,1.65,0.22,1.0,1.0,1.5686289647968705,2.094421771899515,2.446379404650985,2.7616311022491673
0.6,0.1,-3.0,0.5,1.9,1.65,0.24,1.0,1.0,1.5686289647968705,2.094421771899515,2.446379404650985,2.7616311022491673
0.6,0.1,-3.0,0.5,1.9,1.7,0.2,1.0,1.0,1.574189007670112,2.0967734021536386,2.4480104937624296,2.762992156690965
0.6,0.1,-3.0,0.5,1.9,1.7,0.22,1.0,1.0,1.574189007670112,2.0967734021536386,2.4480104937624296,2.762992156690965
0.6,0.1,-3.0,0.5,1.9,1.7,0.24,1.0,1.0,1.574189007670112,2.0967734021536386,2.4480104937624296,2.762992156690965
0.6,0.1,-3.0,0.6,1.8,1.6,0.2,1.0,1.0,1.5083376573519598,2.0636823567683913,2.422969973577944,2.7414413219790355
0.6,0.1,-3.0,0.6,1.8,1.6,0.22,1.0,1.0,1.5083376573519598,2.0636823567683913,2.422969973577944,2.7414413219790355
0.6,0.1,-3.0,0.6,1.8,1.6,0.24,1.0,1.0,1.5083376573519598,2.0636823567683913,2.422969973577944,2.7414413219790355
0.6,0.1,-3.0,0.6,1.8,1.65,0.2,1.0,1.0,1.514623672180294,2.066134558226728,2.4246499440433062,2.7428740848419118
0.6,0.1,-3.0,0.6,1.8,1.65,0.22,1.0,1.0,1.514623672180294,2.066134558226728,2.4246499440433062,2.7428740848419118
0.6,0.1,-3.0,0.6,1.8,1.65,0.24,1.0,1.0,1.514623672180294,2.066134558226728,2.4246499440433062,2.7428740848419118
0.6,0.1,-3.0,0.6,1.8,1.7,0.2,1.0,1.0,1.5204318352482487,2.068402998488037,2.426194310763565,2.7441835079933337
0.6,0.1,-3.0,0.6,1.8,1.7,0.22,1.0,1.0,1.5204318352482487,2.068402998488037,2.426194310763565,2.7441835079933337
0.6,0.1,-3.0,0.6,1.8,1.7,0.24,1.0,1.0,1.5204318352482487,2.068402998488037,2.426194310763565,2.7441835079933337
0.6,0.1,-3.0,0.6,1.85,1.6,0.2,1.0,1.0,1.504377619914464,2.0625252488528414,2.4221966803743906,2.740778536807888
0.6,0.1,-3.0,0.6,1.85,1.6,0.22,1.0,1.0,1.504377619914464,2.0625252488528414,2.4221966803743906,2.740778536807888
0.6,0.1,-3.0,0.6,1.85,1.6,0.24,1.0,1.0,1.504377619914464,2.0625252488528414,2.4221966803743906,2.740778536807888
0.6,0.1,-3.0,0.6,1.85,1.65,0.2,1.0,1.0,1.5109071869759485,2.0650405341478084,2.4239181946324284,2.742248223308544
0.6,0.1,-3.0,0.6,1.85,1.65,0.22,1.0,1.0,1.5109071869759485,2.0650405341478084,2.4239181946324284,2.742248223308544
0.6,0.1,-3.0,0.6,1.85,1.65,0.24,1.0,1.0,1.5109071869759485,2.0650405341478084,2.4239181946324284,2.742248223308544
0.6,0.1,-3.0,0.6,1.85,1.7,0.2,1.0,1.0,1.5169355572787477,2.067367158878912,2.4255008326601746,2.743591515832334
0.6,0.1,-3.0,0.6,1.85,1.7,0.22,1.0,1.0,1.5169355572787477,2.067367158878912,2.4255008326601746,2.743591515832334
0.6,0.1,-3.0,0.6,1.85,1.7,0.24,1.0,1.0,1.5169355572787477,2.067367158878912,2.4255008326601746,2.743591515832334
0.6,0.1,-3.0,0.6,1.9,1.6,0.2,1.0,1.0,1.5003891304415953,2.061372289032077,2.4214259015457427,2.7401168622146
0.6,0.1,-3.0,0.6,1.9,1.6,0.22,1.0,1.0,1.5003891304415953,2.061372289032077,2.4214259015457427,2.7401168622146
0.6,0.1,-3.0,0.6,1.9,1.6,0.24,1.0,1.0,1.5003891304415953,2.061372289032077,2.4214259015457427,2.7401168622146
0.6,0.1,-3.0,0.6,1.9,1.65,0.2,1.0,1.0,1.5071660836195568,2.0639502059831734,2.423188645982598,2.741623284610864
0.6,0.1,-3.0,0.6,1.9,1.65,0.22,1.0,1.0,1.5071660836195568,2.0639502059831734,2.423188645982598,2.741623284610864
0.6,0.1,-3.0,0.6,1.9,1.65,0.24,1.0,1.0,1.5071660836195568,2.0639502059831734,2.423188645982598,2.741623284610864
0.6,0.1,-3.0,0.6,1.9,1.7,0.2,1.0,1.0,1.5134179112724115,2.0663346148965496,2.4248092813142854,2.743000288790117
0.6,0.1,-3.0,0.6,1.9,1.7,0.22,1.0,1.0,1.5134179112724115,2.0663346148965496,2.4248092813142854,2.743000288790117
0.6,0.1,-3.0,0.6,1.9,1.7,0.24,1.0,1.0,1.5134179112724115,2.0663346148965496,2.4248092813142854,2.743000288790117
0.6,0.15,-3.0,0.4,1.8,1.6,0.2,1.0,1.0,1.7439857017335054,2.374977778341414,2.8241671073841443,3.213811596605438
0.6,0.15,-3.0,0.4,1.8,1.6,0.22,1.0,1.0,1.7439857017335054,2.374977778341414,2.8241671073841443,3.213811596605438
0.6,0.15,-3.0,0.4,1.8,1.6,0.24,1.0,1.0,1.7439857017335054,2.374977778341414,2.8241671073841443,3.213811596605438
0.6,0.15,-3.0,0.4,1.8,1.65,0.2,1.0,1.0,1.7499313891883832,2.3778064554501896,2.8261704005695525,3.2157219797731105
0.6,0.15,-3.0,0.4,1.8,1.65,0.22,1.0,1.0,1.7499313891883832,2.3778064554501896,2.8261704005695525,3.2157219797731105
0.6,0.15,-3.0,0.4,1.8,1.65,0.24,1.0,1.0,1.7499313891883832,2.3778064554501896,2.8261704005695525,3.2157219797731105
0.6,0.15,-3.0,0.4,1.8,1.7,0.2,1.0,1.0,1.7554512498743042,2.3804191132182932,2.828007435536217,3.217474581275027
0.6,0.15,-3.0,0.4,1.8,1.7,0.22,1.0,1.0,1.7554512498743042,2.3804191132182932,2.828007435536217,3.217474581275027
0.6,0.15,-3.0,0.4,1.8,1.7,0.24,1.0,1.0,1.7554512498743042,2.3804191132182932,2.828007435536217,3.217474581275027
0.6,0.15,-3.0,0.4,1.85,1.6,0.2,1.0,1.0,1.7401179934204885,2.3736296211619328,2.823233911323256,3.212920333211116
0.6,0.15,-3.0,0.4,1.85,1.6,0.22,1.0,1.0,1.7401179934204885,2.3736296211619328,2.823233911323256,3.212920333211116
0.6,0.15,-3.0,0.4,1.85,1.6,0.24,1.0,1.0,1.7401179934204885,2.3736296211619328,2.823233911323256,3.212920333211116
0.6,0.15,-3.0,0.4,1.85,1.65,0.2,1.0,1.0,1.7462908774269543,2.3765330498825477,2.825288325033519,3.2148768124247797
0.6,0.15,-3.0,0.4,1.85,1.65,0.22,1.0,1.0,1.7462908774269543,2.3765330498825477,2.825288325033519,3.2148768124247797
0.6,0.15,-3.0,0.4,1.85,1.65,0.24,1.0,1.0,1.7462908774269543,2.3765330498825477,2.825288325033519,3.2148768124247797
0.6,0.15,-3.0,0.4,1.85,1.7,0.2,1.0,1.0,1.7520170397241535,2.3792144418943693,2.8271723147941534,3.216672049960153
0.6,0.15,-3.0,0.4,1.85,1.7,0.22,1.0,1.0,1.7520170397241535,2.3792144418943693,2.8271723147941534,3.216672049960153
0.6,0.15,-3.0,0.4,1.85,1.7,0.24,1.0,1.0,1.7520170397241535,2.3792144418943693,2.8271723147941534,3.216672049960153
0.6,0.15,-3.0,0.4,1.9,1.6,0.2,1.0,1.0,1.7362246330128168,2.3722850439887275,2.8223028653779227,3.2120319788415337
0.6,0.15,-3.0,0.4,1.9,1.6,0.22,1.0,1.0,1.7362246330128168,2.3722850439887275,2.8223028653779227,3.2120319788415337
0.6,0.15,-3.0,0.4,1.9,1.6,0.24,1.0,1.0,1.7362246330128168,2.3722850439887275,2.8223028653779227,3.2120319788415337
0.6,0.15,-3.0,0.4,1.9,1.65,0.2,1.0,1.0,1.7426282058191176,2.375262833583444,2.8244081083471815,3.2140341834710187
0.6,0.15,-3.0,0.4,1.9,1.65,0.22,1.0,1.0,1.7426282058191176,2.375262833583444,2.8244081083471815,3.2140341834710187
0.6,0.15,-3.0,0.4,1.9,1.65,0.24,1.0,1.0,1.7426282058191176,2.375262833583444,2.8244081083471815,3.2140341834710187
0.6,0.15,-3.0,0.4,1.9,1.7,0.2,1.0,1.0,1.748563627386768,2.3780126106487076,2.8263388007882435,3.2158717387018023
0.6,0.15,-3.0,0.4,1.9,1.7,0.22,1.0,1.0,1.748563627386768,2.3780126106487076,2.8263388007882435,3.2158717387018023
0.6,0.15,-3.0,0.4,1.9,1.7,0.24,1.0,1.0,1.748563627386768,2.3780126106487076,2.8263388007882435,3.2158717387018023
0.6,0.15,-3.0,0.5,1.8,1.6,0.2,1.0,1.0,1.6806487581860938,2.3411058896816623,2.7978140226111377,3.188957201208925
0.6,0.15,-3.0,0.5,1.8,1.6,0.22,1.0,1.0,1.6806487581860938,2.3411058896816623,2.7978140226111377,3.188957201208925
0.6,0.15,-3.0,0.5,1.8,1.6,0.24,1.0,1.0,1.6806487581860938,2.3411058896816623,2.7978140226111377,3.188957201208925
0.6,0.15,-3.0,0.5,1.8,1.65,0.2,1.0,1.0,1.6872573683044572,2.3439737585536586,2.7998158490593785,3.1908118793504077
0.6,0.15,-3.0,0.5,1.8,1.65,0.22,1.0,1.0,1.6872573683044572,2.3439737585536586,2.7998158490593785,3.1908118793504077
0.6,0.15,-3.0,0.5,1.8,1.65,0.24,1.0,1.0,1.6872573683044572,2.3439737585536586,2.7998158490593785,3.1908118793504077
0.6,0.15,-3.0,0.5,1.8,1.7,0.2,1.0,1.0,1.6933817617541482,2.346618034022828,2.801649573250941,3.1925127396842665
0.6,0.15,-3.0,0.5,1.8,1.7,0.22,1.0,1.0,1.6933817617541482,2.346618034022828,2.801649573250941,3.1925127396842665
0.6,0.15,-3.0,0.5,1.8,1.7,0.24,1.0,1.0,1.6933817617541482,2.346618034022828,2.801649573250941,3.1925127396842665
0.6,0.15,-3.0,0.5,1.85,1.6,0.2,1.0,1.0,1.6765194354086699,2.339761356376577,2.7968849859257463,3.1880913075928703
0.6,0.15,-3.0,0.5,1.85,1.6,0.22,1.0,1.0,1.6765194354086699,2.339761356376577,2.7968849859257463,3.1880913075928703
0.6,0.15,-3.0,0.5,1.85,1.6,0.24,1.0,1.0,1.6765194354086699,2.339761356376577,2.7968849859257463,3.1880913075928703
0.6,0.15,-3.0,0.5,1.85,1.65,0.2,1.0,1.0,1.6833756358668763,2.342703394517094,2.7989372744946635,3.1899904089846793
0.6,0.15,-3.0,0.5,1.85,1.65,0.22,1.0,1.0,1.6833756358668763,2.342703394517094,2.7989372744946635,3.1899904089846793
0.6,0.15,-3.0,0.5,1.85,1.65,0.24,1.0,1.0,1.6833756358668763,2.342703394517094,2.7989372744946635,3.1899904089846793
0.6,0.15,-3.0,0.5,1.85,1.7,0.2,1.0,1.0,1.6897246834278008,2.3454158787456683,2.8008173735824107,3.1917323880322437
0.6,0.15,-3.0,0.5,1.85,1.7,0.22,1.0,1.0,1.6897246834278008,2.3454158787456683,2.8008173735824107,3.1917323880322437
0.6,0.15,-3.0,0.5,1.85,1.7,0.24,1.0,1.0,1.6897246834278008,2.3454158787456683,2.8008173735824107,3.1917323880322437
0.6,0.15,-3.0,0.5,1.9,1.6,0.2,1.0,1.0,1.6723644079665183,2.3384207029951463,2.795958160095586,3.1872282640475333
0.6,0.15,-3.0,0.5,1.9,1.6,0.22,1.0,1.0,1.6723644079665183,2.3384207029951463,2.795958160095586,3.1872282640475333
0.6,0.15,-3.0,0.5,1.9,1.6,0.24,1.0,1.0,1.6723644079665183,2.3384207029951463,2.795958160095586,3.1872282640475333
0.6,0.15,-3.0,0.5,1.9,1.65,0.2,1.0,1.0,1.6794717390894234,2.3414364569185713,2.798060600840792,3.1891714241052935
0.6,0.15,-3.0,0.5,1.9,1.65,0.22,1.0,1.0,1.6794717390894234,2.3414364569185713,2.798060600840792,3.1891714241052935
0.6,0.15,-3.0,0.5,1.9,1.65,0.24,1.0,1.0,1.6794717390894234,2.3414364569185713,2.798060600840792,3.1891714241052935
0.6,0.15,-3.0,0.5,1.9,1.7,0.2,1.0,1.0,1.6860484354924488,2.344216748205921,2.7999868081029056,3.1909542092427032
0.6,0.15,-3.0,0.5,1.9,1.7,0.22,1.0,1.0,1.6860484354924488,2.344216748205921,2.7999868081029056,3.1909542092427032
0.6,0.15,-3.0,0.5,1.9,1.7,0.24,1.0,1.0,1.6860484354924488,2.344216748205921,2.7999868081029056,3.1909542092427032
0.6,0.15,-3.0,0.6,1.8,1.6,0.2,1.0,1.0,1.614457802387128,2.3067595299562287,2.7711825881718855,3.1642601261114045
0.6,0.15,-3.0,0.6,1.8,1.6,0.22,1.0,1.0,1.614457802387128,2.3067595299562287,2.7711825881718855,3.1642601261114045
0.6,0.15,-3.0,0.6,1.8,1.6,0.24,1.0,1.0,1.614457802387128,2.3067595299562287,2.7711825881718855,3.1642601261114045
0.6,0.15,-3.0,0.6,1.8,1.65,0.2,1.0,1.0,1.6217609658580903,2.309653391726082,2.773175604313465,3.166055105858229
0.6,0.15,-3.0,0.6,1.8,1.65,0.22,1.0,1.0,1.6217609658580903,2.309653391726082,2.773175604313465,3.166055105858229
0.6,0.15,-3.0,0.6,1.8,1.65,0.24,1.0,1.0,1.6217609658580903,2.309653391726082,2.773175604313465,3.166055105858229
0.6,0.15,-3.0,0.6,1.8,1.7,0.2,1.0,1.0,1.6285180932380263,2.312317063972181,2.7749995077071037,3.167700682817057
0.6,0.15,-3.0,0.6,1.8,1.7,0.22,1.0,1.0,1.6285180932380263,2.312317063972181,2.7749995077071037,3.167700682817057
0.6,0.15,-3.0,0.6,1.8,1.7,0.24,1.0,1.0,1.6285180932380263,2.312317063972181,2.7749995077071037,3.167700682817057
0.6,0.15,-3.0,0.6,1.85,1.6,0.2,1.0,1.0,1.6100628521468026,2.30542032979378,2.770258741535031,3.16342003287503
0.6,0.15,-3.0,0.6,1.85,1.6,0.22,1.0,1.0,1.6100628521468026,2.30542032979378,2.770258741535031,3.16342003287503
0.6,0.15,-3.0,0.6,1.85,1.6,0.24,1.0,1.0,1.6100628521468026,2.30542032979378,2.770258741535031,3.16342003287503
0.6,0.15,-3.0,0.6,1.85,1.65,0.2,1.0,1.0,1.6176343956066923,2.3083875786707004,2.7723014674885893,3.165257804016332
0.6,0.15,-3.0,0.6,1.85,1.65,0.22,1.0,1.0,1.6176343956066923,2.3083875786707004,2.7723014674885893,3.165257804016332
0.6,0.15,-3.0,0.6,1.85,1.65,0.24,1.0,1.0,1.6176343956066923,2.3083875786707004,2.7723014674885893,3.165257804016332
0.6,0.15,-3.0,0.6,1.85,1.7,0.2,1.0,1.0,1.6246348982225682,2.3111187464673755,2.774171080638284,3.1669430137684844
0.6,0.15,-3.0,0.6,1.85,1.7,0.22,1.0,1.0,1.6246348982225682,2.3111187464673755,2.774171080638284,3.1669430137684844
0.6,0.15,-3.0,0.6,1.85,1.7,0.24,1.0,1.0,1.6246348982225682,2.3111187464673755,2.774171080638284,3.1669430137684844
0.6,0.15,-3.0,0.6,1.9,1.6,0.2,1.0,1.0,1.6056423281203587,2.304085209478902,2.7693371289909856,3.1625826825035723
0.6,0.15,-3.0,0.6,1.9,1.6,0.22,1.0,1.0,1.6056423281203587,2.304085209478902,2.7693371289909856,3.1625826825035723
0.6,0.15,-3.0,0.6,1.9,1.6,0.24,1.0,1.0,1.6056423281203587,2.304085209478902,2.7693371289909856,3.1625826825035723
0.6,0.15,-3.0,0.6,1.9,1.65,0.2,1.0,1.0,1.613485813894093,2.307125341325316,2.771429241998409,3.1644628922370894
0.6,0.15,-3.0,0.6,1.9,1.65,0.22,1.0,1.0,1.613485813894093,2.307125341325316,2.771429241998409,3.1644628922370894
0.6,0.15,-3.0,0.6,1.9,1.65,0.24,1.0,1.0,1.613485813894093,2.307125341325316,2.771429241998409,3.1644628922370894
0.6,0.15,-3.0,0.6,1.9,1.7,0.2,1.0,1.0,1.620732701515391,2.3099235608916087,2.773344288553615,3.166187432838249
0.6,0.15,-3.0,0.6,1.9,1.7,0.22,1.0,1.0,1.620732701515391,2.3099235608916087,2.773344288553615,3.166187432838249
0.6,0.15,-3.0,0.6,1.9,1.7,0.24,1.0,1.0,1.620732701515391,2.3099235608916087,2.773344288553615,3.166187432838249
0.6,0.2,-3.0,0.4,1.8,1.6,0.2,1.0,1.0,1.850692822997585,2.6012585453754933,3.1400408321648126,3.596524555259651
0.6,0.2,-3.0,0.4,1.8,1.6,0.22,1.0,1.0,1.850692822997585,2.6012585453754933,3.1400408321648126,3.596524555259651
0.6,0.2,-3.0,0.4,1.8,1.6,0.24,1.0,1.0,1.850692822997585,2.6012585453754933,3.1400408321648126,3.596524555259651
0.6,0.2,-3.0,0.4,1.8,1.65,0.2,1.0,1.0,1.8575438580908814,2.6044426110461716,3.142315059208108,3.5982444583131805
0.6,0.2,-3.0,0.4,1.8,1.65,0.22,1.0,1.0,1.8575438580908814,2.6044426110461716,3.142315059208108,3.5982444583131805
0.6,0.2,-3.0,0.4,1.8,1.65,0.24,1.0,1.0,1.8575438580908814,2.6044426110461716,3.142315059208108,3.5982444583131805
0.6,0.2,-3.0,0.4,1.8,1.7,0.2,1.0,1.0,1.8639075863093435,2.607371022277931,3.1443964155138104,3.5998212076393816
0.6,0.2,-3.0,0.4,1.8,1.7,0.22,1.0,1.0,1.8639075863093435,2.607371022277931,3.1443964155138104,3.5998212076393816
0.6,0.2,-3.0,0.4,1.8,1.7,0.24,1.0,1.0,1.8639075863093435,2.607371022277931,3.1443964155138104,3.5998212076393816
0.6,0.2,-3.0,0.4,1.85,1.6,0.2,1.0,1.0,1.8464357631697998,2.599765068461324,3.138975588181699,3.595711965428335
0.6,0.2,-3.0,0.4,1.85,1.6,0.22,1.0,1.0,1.8464357631697998,2.599765068461324,3.138975588181699,3.595711965428335
0.6,0.2,-3.0,0.4,1.85,1.6,0.24,1.0,1.0,1.8464357631697998,2.599765068461324,3.138975588181699,3.595711965428335
0.6,0.2,-3.0,0.4,1.85,1.65,0.2,1.0,1.0,1.853537255245414,2.603031877333712,3.1413071757501876,3.5974742058589055
0.6,0.2,-3.0,0.4,1.85,1.65,0.22,1.0,1.0,1.853537255245414,2.603031877333712,3.1413071757501876,3.5974742058589055
0.6,0.2,-3.0,0.4,1.85,1.65,0.24,1.0,1.0,1.853537255245414,2.603031877333712,3.1413071757501876,3.5974742058589055
0.6,0.2,-3.0,0.4,1.85,1.7,0.2,1.0,1.0,1.8601288902133857,2.60603622246396,3.1434412664237454,3.5990900739689895
0.6,0.2,-3.0,0.4,1.85,1.7,0.22,1.0,1.0,1.8601288902133857,2.60603622246396,3.1434412664237454,3.5990900739689895
0.6,0.2,-3.0,0.4,1.85,1.7,0.24,1.0,1.0,1.8601288902133857,2.60603622246396,3.1434412664237454,3.5990900739689895
0.6,0.2,-3.0,0.4,1.9,1.6,0.2,1.0,1.0,1.8421550436019818,2.5982751679501814,3.137912667056413,3.594901454380063
0.6,0.2,-3.0,0.4,1.9,1.6,0.22,1.0,1.0,1.8421550436019818,2.5982751679501814,3.137912667056413,3.594901454380063
0.6,0.2,-3.0,0.4,1.9,1.6,0.24,1.0,1.0,1.8421550436019818,2.5982751679501814,3.137912667056413,3.594901454380063
0.6,0.2,-3.0,0.4,1.9,1.65,0.2,1.0,1.0,1.849510306397101,2.6016242746403044,3.1403012837225135,3.5967057698745886
0.6,0.2,-3.0,0.4,1.9,1.65,0.22,1.0,1.0,1.849510306397101,2.6016242746403044,3.1403012837225135,3.5967057698745886
0.6,0.2,-3.0,0.4,1.9,1.65,0.24,1.0,1.0,1.849510306397101,2.6016242746403044,3.1403012837225135,3.5967057698745886
0.6,0.2,-3.0,0.4,1.9,1.7,0.2,1.0,1.0,1.8563326463760972,2.6047041595402476,3.142487825467852,3.5983605320579737
0.6,0.2,-3.0,0.4,1.9,1.7,0.22,1.0,1.0,1.8563326463760972,2.6047041595402476,3.142487825467852,3.5983605320579737
0.6,0.2,-3.0,0.4,1.9,1.7,0.24,1.0,1.0,1.8563326463760972,2.6047041595402476,3.142487825467852,3.5983605320579737
0.6,0.2,-3.0,0.5,1.8,1.6,0.2,1.0,1.0,1.7835247776879557,2.5643149731958292,3.1106939393414716,3.5724008220643872
0.6,0.2,-3.0,0.5,1.8,1.6,0.22,1.0,1.0,1.7835247776879557,2.5643149731958292,3.1106939393414716,3.5724008220643872
0.6,0.2,-3.0,0.5,1.8,1.6,0.24,1.0,1.0,1.7835247776879557,2.5643149731958292,3.1106939393414716,3.5724008220643872
0.6,0.2,-3.0,0.5,1.8,1.65,0.2,1.0,1.0,1.7910272240597975,2.5675244707817826,3.1129500162869257,3.574077949724398
0.6,0.2,-3.0,0.5,1.8,1.65,0.22,1.0,1.0,1.7910272240597975,2.5675244707817826,3.1129500162869257,3.574077949724398
